Date,VIN,Model,Description,Amount,Category,Investor,Notes
14.08.2025,,Imron,,1000,,Doniyor,
15.08.2025,,,Mobile phone ,232,,Doniyor,
15.08.2025,,,Salik,50,,Doniyor,
14.08.2025,,,Lunch boys,85,,Doniyor,
16.08.2025,,,Fine malibu,420,,Doniyor,
16.08.2025,,Tesla charge ,,70,,Doniyor,
16.08.2025,7,Infiniti,Petrol,70,Car related,Zohirxon,
17.08.2025,,,Container Asadga transfer ,3915,,Doniyor,
18.08.2025,8,Mercedes E300,Tyres+oil,950,Car related,Doniyor,
18.08.2025,8,Mercedes E300,Moyka,400,Car related,Doniyor,
18.08.2025,8,Mercedes E300,VCC,1380,Car related,Doniyor,
18.08.2025,,,Grocery ,20,,Doniyor,imron
18.08.2025,,,,20,,,
18.08.2025,5,Volkswagen Tiguan ,Petrol Tiguan￼,70,Car related,Doniyor,
18.08.2025,8,Mercedes E300,Passing RTA,170,Car related,Doniyor,
18.08.2025,8,Mercedes E300,Insurance,970,Car related,Doniyor,
18.08.2025,8,Mercedes E300,Plate +installing,550,Car related,Doniyor,
19.08.2025,8,Mercedes E300,Rims+tip,820,Car related,Doniyor,imron
19.08.2025,8,Mercedes E300,car wash ,15,Car related,Doniyor,imron
19.08.2025,8,Mercedes E300,petrol e300,100,Car related,Doniyor,imron
,,,,,,,
19.08.2025,,Tesla,recovery from marhaba to yard,110,,Doniyor,imron
19.08.2025,,,Lunch for Aziz and me Compliment for help,70,,Doniyor,
20.08.2025,,,AI website subscription,37,,Doniyor,
20.08.2025,6,Jeep,Petrol,25,Car related,Doniyor,
20.08.2025,7,Infiniti,Odour,15,Car related,Zohirxon,
20.08.2025,,,Imron,500,,Doniyor,Imron
20.08.2025,8,Mercedes E300,Petrol and salik,200,Car related,Doniyor,Imron
22.08.2025,6,Jeep,Petrol,70,Car related,Doniyor,
23.08.2025,9,Changan CS85,Passing + Petrol,240,Car related,Asad,
23.08.2025,9,Changan CS85,Insurance,895,Car related,Asad,
23.08.2025,9,Changan CS85,Plate number,570,Car related,Asad,
23.08.2025,11,Hyundai Santafe,Washing,60,Car related,Doniyor,Imron
23.08.2025,11,Hyundai Santafe,recovery from marhaba to yard,175,Car related,Doniyor,Imron
23.08.2025,12,BMW 320i,battery,240,Car related,Doniyor,Imron
23.08.2025,14,Lincoln MKS,recovery to yard,75,Car related,Doniyor,Imron
23.08.2025,12,BMW 320i,recovery to yard,75,Car related,Doniyor,Imron
23.08.2025,11,Hyundai Santafe,recovery,75,Car related,Doniyor,Imron
22.08.2025,14,Lincoln MKS,"Garage window,Oil,petrol,labor",1000,Car related,Doniyor,
22.08.2025,10,Mercedes GLA250,"Garage seatbelts,auxil bat, computer, bulb,repair",4700,Car related,Doniyor,
22.08.2025,16,Chevrolet Malibu,"Garage br.pads, r/caliper,oil,disk",1600,Car related,Doniyor,
24.08.2025,9,Changan CS85,Salik tag,100,Car related,Asad,
25.08.2025,,,domen ezcar24.biz,16,,Doniyor,
